AAR,BYDEL,DISTRIKTSNAVN,HUSTYP,FAMILIEGRUPPE,FAMILIETYPE,BRUTTOINDKOM,INDKOMSTKATEGORI,HUSTANDE
2014,3,3. Nørrebro,5,Par,Par 1 barn,2,50.000-99.999 kr.,9
2014,3,3. Nørrebro,5,Par,Par 1 barn,3,100.000-149.999 kr.,14
2014,3,3. Nørrebro,5,Par,Par 1 barn,4,150.000-199.999 kr.,44
2014,3,3. Nørrebro,5,Par,Par 1 barn,5,200.000-299.999 kr.,154
2014,3,3. Nørrebro,5,Par,Par 1 barn,6,300.000-399.999 kr.,278
2014,3,3. Nørrebro,5,Par,Par 1 barn,7,400.000-499.999 kr.,298
2014,3,3. Nørrebro,5,Par,Par 1 barn,8,500.000-599.999 kr.,319
2014,3,3. Nørrebro,5,Par,Par 1 barn,9,600.000-699.999 kr.,356
2014,3,3. Nørrebro,5,Par,Par 1 barn,10,700.000 kr. og derover,917
2014,3,3. Nørrebro,6,Par,Par 2 børn,1,-49.999 kr.,3
2014,3,3. Nørrebro,6,Par,Par 2 børn,2,50.000-99.999 kr.,8
2014,3,3. Nørrebro,6,Par,Par 2 børn,3,100.000-149.999 kr.,10
2014,3,3. Nørrebro,6,Par,Par 2 børn,4,150.000-199.999 kr.,28
2014,3,3. Nørrebro,6,Par,Par 2 børn,5,200.000-299.999 kr.,86
2014,3,3. Nørrebro,6,Par,Par 2 børn,6,300.000-399.999 kr.,195
2014,3,3. Nørrebro,6,Par,Par 2 børn,7,400.000-499.999 kr.,188
2014,3,3. Nørrebro,6,Par,Par 2 børn,8,500.000-599.999 kr.,216
2014,3,3. Nørrebro,6,Par,Par 2 børn,9,600.000-699.999 kr.,233
2014,3,3. Nørrebro,6,Par,Par 2 børn,10,700.000 kr. og derover,814
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,1,-49.999 kr.,2
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,2,50.000-99.999 kr.,3
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,3,100.000-149.999 kr.,10
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,4,150.000-199.999 kr.,16
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,5,200.000-299.999 kr.,66
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,6,300.000-399.999 kr.,219
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,7,400.000-499.999 kr.,92
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,8,500.000-599.999 kr.,109
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,9,600.000-699.999 kr.,79
2014,3,3. Nørrebro,7,Par,Par 3 eller flere børn,10,700.000 kr. og derover,232
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,1,-49.999 kr.,81
2014,3,3. Nørrebro,8,Hustande med 2 eller flere familier,,2,50.000-99.999 kr.,103
